Key,File,Type,UsedInMainMenu,NoTranslate,english,Context
COTDCoffeeMachine,blocks,Container,,,"Working Coffee Machine",,
COTDCoffeeMachineDesc,blocks,Container,,,"This looks like it can brew some WICKED coffee!",,
COTDCoffeePot,items,item,,,"Coffee Pot",,
COTDCoffeePotDesc,items,item,,,"Essential for making a cuppa joe!",,
COTDCoffeeBlack,items,item,,,"Black Coffee",,
COTDCoffeeBlackDesc,items,item,,,"Dark, robust, black coffee right out of an old can. Who drinks coffee from a jar?",,
COTDCoffeeBlack,items,item,,,"Malked Coffee",,
COTDCoffeeBlackDesc,items,item,,,"Creamy. Unfortunately creamy.",,
COTDCoffeeFoam,items,item,,,"Wasteland Latte",,
COTDCoffeeBlackDesc,items,item,,,"Just like before the world went to hell. You feel like this should cost 7 dollars.",,
COTDPureMalk,items,item,,,"Canned Milk",,
COTDPureMalkDesc,items,item,,,"What the fuck is a Malk?",,
COTDSteamer,items,item,,,"Steamer Nozzle",,
COTDSteamerDesc,items,item,,,"Tool for creating foam in milk and coffee.",,
