Key,File,Type,UsedInMainMenu,NoTranslate,english,Context
ImmersiveVendorsSecureStorageChestDesc,blocks,block,,,"This is a Player vending machine. Sell your stuff!",,
ImmersiveVendorsVendingMachineMaster,blocks,block,,,"ImmersiveVendorsVendingMachineMaster",,
ImmersiveVendorsHardenedChestSecure,blocks,block,,,"Hardened Chest Vendor",,
ImmersiveVendorsLootChestHero,blocks,block,,,"Reinforced Chest Vendor",,
ImmersiveVendorsLuggageBigClosed,blocks,block,,,"Big Luggage Vendor",,
ImmersiveVendorsLuggageMediumClosed,blocks,block,,,"Medium Luggage Vendor",,
ImmersiveVendorsDuffle01,blocks,block,,,"Duffle Vendor",,
ImmersiveVendorsFetchQuestSatchel,blocks,block,,,"Satchel Vendor",,
ImmersiveVendorsSportsBag02,blocks,block,,,"Sports Bag Vendor",,
ImmersiveVendorsSportsBag01,blocks,block,,,"Sports Bag Vendor",,
ImmersiveVendorsLaundryBasketVer2Full,blocks,block,,,"Laundry Basket Vendor",,
ImmersiveVendorsToolBoxClosed,blocks,block,,,"Tool Box Vendor",,
ImmersiveVendorsRollingToolBoxClosed,blocks,block,,,"Rolling Tool Box Vendor",,
ImmersiveVendorsTiltTruckFull,blocks,block,,,"Tilt Truck Vendor",,
ImmersiveVendorsTrash_can01,blocks,block,,,"Trash Can Vendor",,
ImmersiveVendorsBin,blocks,block,,,"Bin Vendor",,
ImmersiveVendorsFancyGarbageCan,blocks,block,,,"Fancy Trash Can Vendor",,
ImmersiveVendorsDomedTrashCanEmpty,blocks,block,,,"Domed Trash Can Vendor",,
ImmersiveVendorsBruteStyleTrashCanEmpty,blocks,block,,,"Stylish Trashcan Vendor",,
ImmersiveVendorsDumpster,blocks,block,,,"Dumptser Vendor",,
ImmersiveVendorsShoppingCart,blocks,block,,,"Shopping Cart Vendor",,
ImmersiveVendorsShoppingBasket,blocks,block,,,"Shopping Basket Vendor",,
ImmersiveVendorsCashRegister,blocks,block,,,"Cash Register Vendor",,
ImmersiveVendorsUtilityCartFull,blocks,block,,,"Utility Cart Vendor",,
ImmersiveVendorsJanitorCartFull,blocks,block,,,"Janitor Cart Vendor",,
ImmersiveVendorsBarrelPlasticQuadB,blocks,block,,,"Plastic Barrel Vendor",,
ImmersiveVendorsBarrelPlasticQuadA,blocks,block,,,"Plastic Barrel Vendor",,
ImmersiveVendorsBarrelPlasticSingle45,blocks,block,,,"Plastic Barrel Vendor",,
ImmersiveVendorsBarrelPlasticSingle00,blocks,block,,,"Plastic Barrel Vendor",,
ImmersiveVendorsBarrelWhiteQuadB,blocks,block,,,"White Barrel Vendor",,
ImmersiveVendorsBarrelWhiteQuadA,blocks,block,,,"White Barrel Vendor",,
ImmersiveVendorsBarrelWhiteSingle45,blocks,block,,,"White Barrel Vendor",,
ImmersiveVendorsBarrelWhiteSingle00,blocks,block,,,"White Barrel Vendor",,
ImmersiveVendorsBarrelRadiatedQuadB,blocks,block,,,"Radiation Barrel Vendor",,
ImmersiveVendorsBarrelRadiatedQuadA,blocks,block,,,"Radiation Barrel Vendor",,
ImmersiveVendorsBarrelRadiatedSingle45,blocks,block,,,"Radiation Barrel Vendor",,
ImmersiveVendorsBarrelRadiatedSingle00,blocks,block,,,"Radiation Barrel Vendor",,
ImmersiveVendorsBarrelOilQuadB,blocks,block,,,"Oil Barrel Vendor",,
ImmersiveVendorsBarrelOilQuadA,blocks,block,,,"Oil Barrel Vendor",,
ImmersiveVendorsBarrelOilSingle45,blocks,block,,,"Oil Barrel Vendor",,
ImmersiveVendorsBarrelOilSingle00,blocks,block,,,"Oil Barrel Vendor",,
ImmersiveVendorsBarrelGenericQuadB,blocks,block,,,"Generic Barrel Vendor",,
ImmersiveVendorsBarrelGenericQuadA,blocks,block,,,"Generic Barrel Vendor",,
ImmersiveVendorsBarrelGenericSingle45,blocks,block,,,"Generic Barrel Vendor",,
ImmersiveVendorsBarrelGenericSingle00,blocks,block,,,"Generic Barrel Vendor",,
ImmersiveVendorsBarrelGasOld,blocks,block,,,"Gas Barrel Vendor",,
ImmersiveVendorsBarrelGasQuadB,blocks,block,,,"Gas Barrel Vendor",,
